,Look-up table: scientific effects that transform an ENERGY TYPE 1 (on row) to an ENERGY TYPE 2 (in column).,"Numbers are scientific effects, to be looked up in list_topics.csv.",,,,,,,,
,acoustic,chemical,electrical,electromagnetic,kinematic,kinetic,magnetic,mechanical,optical,thermal
acoustic,"10,11,86,202,215,244,252,256,263,475,656,751,752,756,761,781,872,947,961,","20,823,","123,172,265,295,683,872,","576,823,824,",,"11,17,347,428,756,823,872,945,947,948,961,","265,682,964,","11,17,86,143,215,295,347,428,475,680,756,823,872,945,947,948,961,","20,576,681,823,824,","10,11,143,823,901,903,947,948,961,"
chemical,"175,220,232,337,338,445,621,622,638,","5,27,152,156,163,203,219,231,327,486,826,","381,486,583,734,","93,155,337,338,381,540,583,621,622,638,658,734,",,"115,124,150,156,166,175,184,220,222,232,249,326,337,338,352,538,583,621,622,623,628,634,635,636,764,986,",,"124,129,150,168,171,175,220,222,232,326,337,338,352,538,583,621,622,623,628,634,635,764,874,954,986,","93,155,175,232,284,337,338,381,540,583,621,622,638,658,728,734,","175,181,208,219,220,222,226,232,337,338,352,389,519,583,621,622,623,638,654,728,734,748,820,"
electrical,"89,123,139,187,192,238,271,272,275,276,300,314,485,536,872,","192,286,292,302,312,320,321,486,530,","67,72,123,182,190,192,218,238,241,265,273,276,280,295,300,314,316,333,349,427,470,486,495,557,561,578,662,698,811,859,872,931,","141,192,214,272,274,304,284,285,291,300,314,383,503,540,694,878,896,",,"89,139,187,192,265,273,305,306,289,302,318,319,321,485,494,536,557,578,680,","94,265,273,295,557,578,859,864,","89,139,187,192,197,265,273,305,306,289,312,318,319,321,485,494,536,557,578,680,","141,192,272,274,276,304,284,285,291,300,314,383,468,503,540,694,878,","111,265,272,276,280,283,292,295,300,314,333,468,470,496,648,793,920,"
electromagnetic,"622,659,660,","4,658,672,661,663,668,669,867,906,","67,486,662,665,668,675,","7,20,95,106,157,159,179,194,202,228,244,252,256,303,346,368,372,390,413,416,418,419,465,475,478,530,545,592,613,618,622,656,658,661,669,736,751,752,781,795,906,909,930,944,970,",,"622,631,673,674,733,","479,","622,631,659,660,673,674,733,","141,368,613,618,622,658,661,669,736,782,784,909,","4,7,239,368,372,473,622,659,660,"
kinematic,"3,12,34,86,118,143,256,269,270,369,420,437,466,499,624,756,805,845,872,941,947,961,992,","766,919,","257,265,289,318,381,521,557,680,683,934,","157,256,381,540,576,681,777,852,935,",,,"81,265,401,557,570,603,682,964,","23,29,34,49,50,83,105,130,143,191,215,216,253,258,265,269,270,347,365,369,421,443,449,450,453,466,472,491,492,499,501,524,557,567,572,601,620,624,646,695,702,706,707,708,711,714,745,756,762,802,803,805,845,850,854,872,919,922,927,941,947,948,958,959,961,965,973,","256,318,381,540,576,598,681,728,777,852,935,","3,25,26,33,143,215,258,260,270,369,392,449,453,466,497,575,624,708,711,728,739,801,805,901,941,942,968,"
kinetic,,,,,,"23,29,34,83,87,105,108,115,130,164,185,186,191,215,216,253,265,269,270,325,347,421,428,443,449,450,453,466,472,491,492,499,501,524,557,567,572,601,620,646,695,702,706,707,708,711,714,745,756,762,802,803,845,850,854,872,919,922,927,941,947,948,958,959,961,965,973,",,,,
magnetic,"79,139,622,",,"190,265,273,295,427,470,557,561,615,991,","214,303,559,560,622,682,878,970,",,"139,265,273,355,536,554,556,557,564,566,622,990,","79,233,238,265,273,355,401,444,550,552,557,","139,224,265,273,355,536,554,556,557,564,566,622,990,","194,346,545,559,560,622,682,878,970,","209,333,470,542,547,555,622,769,793,894,"
mechanical,"3,12,34,86,118,143,269,270,369,420,437,466,499,624,756,805,845,872,941,947,961,","92,623,766,919,","257,265,289,318,381,521,557,583,680,683,934,","381,540,576,583,681,777,852,935,",,"23,29,34,49,50,83,87,92,105,108,130,201,215,216,227,253,265,269,270,347,421,443,449,450,453,466,472,491,492,499,501,524,557,567,572,583,601,620,646,695,702,706,707,708,711,714,745,756,762,802,803,845,850,854,872,919,922,927,941,947,948,958,959,961,965,973,","81,224,265,401,557,570,603,682,964,","23,29,34,69,83,105,130,185,215,216,227,253,265,269,270,347,421,428,443,449,450,453,466,472,491,492,499,501,524,557,567,572,601,620,624,646,695,702,706,707,708,711,714,745,756,762,802,803,805,845,850,854,872,919,922,927,941,947,948,958,959,961,965,973,","318,381,540,576,583,598,681,728,777,852,935,","3,25,26,33,178,215,227,258,260,270,392,449,453,466,497,575,583,623,624,708,711,728,739,801,805,901,903,941,942,968,"
optical,"659,660,","4,324,658,672,661,663,668,669,867,906,","662,665,668,675,","368,613,618,622,658,661,669,909,",,"622,631,673,674,733,913,","479,682,","622,631,659,660,673,674,733,913,","7,95,106,110,112,159,173,194,202,228,244,252,256,346,368,372,390,413,416,418,419,465,475,488,530,545,592,613,618,622,658,661,669,751,752,781,784,795,906,909,930,944,970,","4,368,372,622,659,660,"
thermal,"99,188,435,622,882,891,893,903,","4,99,152,201,209,210,220,226,324,334,434,486,519,579,623,654,727,748,853,906,910,","480,486,615,648,726,787,898,916,920,","468,473,622,732,896,906,909,",,"61,99,115,166,186,201,232,334,384,520,575,578,579,594,614,622,623,714,743,778,798,853,882,891,893,904,913,914,956,998,","209,611,869,","61,99,115,186,201,205,232,334,384,520,575,578,579,594,614,622,623,714,743,778,798,882,891,893,904,903,913,914,956,998,","468,592,622,732,853,896,906,909,","4,7,183,188,220,622,769,785,894,910,"
